2023;06;19;19:55:25;Maths;Add decimals (easy);0;0;min;40;sec;2;/;3;66.7%;0;
2023;06;19;20:08:58;Maths;Percent of;0;11;min;28;sec;3;/;3;100.0%;0;
2023;06;19;20:11:35;Maths;Percent of (no calculation);0;0;min;49;sec;3;/;3;100.0%;3;
2023;06;19;20:26:49;Maths;Percent change;0;9;min;8;sec;4;/;5;80.0%;0;
2023;06;19;20:29:32;Maths;Roots;0;2;min;24;sec;4;/;5;80.0%;1;
2023;06;19;20:33:16;Maths;Logs;0;3;min;1;sec;3;/;3;100.0%;1;
2023;06;19;20:37:16;Maths;Adding fractions (easy);5;3;min;28;sec;2;/;3;66.7%;0;
2023;06;19;20:38:38;Maths;Division: mixed fractions;0;1;min;8;sec;3;/;3;100.0%;2;
2023;06;19;20:40:30;Maths;Compare two numbers (easy);0;1;min;33;sec;3;/;3;100.0%;1;
2023;06;19;20:40:49;Maths;Multiply two digits;0;0;min;7;sec;3;/;3;100.0%;17;
2023;06;19;20:55:05;Maths;Factorizing square of sum;0;13;min;59;sec;3;/;3;100.0%;0;
2023;06;20;18:50:14;Maths;Complete square (easy);0;10;min;27;sec;3;/;3;100.0%;0;
2023;06;20;18:59:50;Maths;Complete square A1;0;9;min;23;sec;3;/;3;100.0%;0;
2023;06;20;19:06:16;Maths;Complete square A1;0;3;min;47;sec;7;/;7;100.0%;8;
2023;06;20;19:11:13;Maths;Complete square A2 (easy);0;4;min;15;sec;1;/;1;100.0%;0;
2023;06;20;19:13:39;Maths;Complete square A2 (easy);0;1;min;42;sec;3;/;3;100.0%;1;
2023;06;21;14:41:50;Maths;Complete square A2 (easy);0;1;min;20;sec;2;/;3;66.7%;0;
2023;06;21;15:01:27;Maths;Complete square A2;0;19;min;28;sec;1;/;3;33.3%;0;
2023;06;21;15:11:45;Maths;Complete square A3;0;10;min;3;sec;3;/;3;100.0%;0;
2023;06;21;15:22:07;Maths;Complete square A4;0;6;min;47;sec;2;/;3;66.7%;0;
2023;06;21;15:25:56;Maths;Complete square A4;0;2;min;57;sec;0;/;1;0.0%;0;
